esntl_no,elsm_nm,schl_nm,fdtn_sctn_dscnt,tot_po,ten_und_po,hshld_co,examin_mt,examin_dt,ave_fnds,qltwtr_poll_entrps_co,addr_1,addr_2
4795,어린이집,교하삐아제 어린이집,사립,122826,5362,15872,11,1,28.18601937,0,경기도,파주시
47971,어린이집,레이크블루어린이집,사립,550200,13659,75756,11,1,28.18601937,41,인천광역시,서구
4798,어린이집,하엘어린이집,사립,86085,3352,11266,11,1,28.18601937,1,경기도,파주시
47982,어린이집,예일어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47983,어린이집,삼성어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47984,어린이집,길상군립어린이집,사립,17655,336,3320,11,1,28.18601937,0,인천광역시,강화군
47985,어린이집,코끼리어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47986,어린이집,엘리트어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47987,어린이집,한마음어린이집,사립,63266,1498,10265,11,1,28.18601937,1,인천광역시,강화군
47988,어린이집,아람어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47989,어린이집,강화군립어린이집,사립,21251,614,3374,11,1,28.18601937,0,인천광역시,강화군
47990,어린이집,교동은혜어린이집,사립,8045,106,1508,11,1,28.18601937,0,인천광역시,강화군
47991,어린이집,세광어린이집,사립,21251,614,3374,11,1,28.18601937,0,인천광역시,강화군
47992,어린이집,새싹어린이집,사립,21251,614,3374,11,1,28.18601937,0,인천광역시,강화군
47993,어린이집,예삐어린이집,사립,21251,614,3374,11,1,28.18601937,0,인천광역시,강화군
47994,어린이집,한빛몬테소리어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47995,어린이집,늘푸른어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47996,어린이집,불은군립어린이집,사립,13502,159,2494,11,1,28.18601937,1,인천광역시,강화군
47997,어린이집,강화떡잎어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
47998,어린이집,하점군립어린이집,사립,11186,129,2045,11,1,28.18601937,0,인천광역시,강화군
47999,어린이집,강화남산군립어린이집,사립,63266,1498,10265,11,1,28.18601937,0,인천광역시,강화군
48000,어린이집,삼산군립어린이집,사립,6101,72,1206,11,1,28.18601937,0,인천광역시,강화군
48001,어린이집,킹스키즈어린이집,사립,10668,143,2038,11,1,28.18601937,0,인천광역시,강화군
48002,어린이집,화도어린이집,사립,11422,142,2306,11,1,28.18601937,2,인천광역시,강화군
48005,어린이집,백령어린이집,사립,12648,348,3014,11,1,28.18601937,0,인천광역시,옹진군
48006,어린이집,키즈토리어린이집,사립,19554,483,3365,11,1,28.18601937,0,인천광역시,옹진군
48008,어린이집,아름다운선재 어린이집,사립,12648,348,3014,11,1,28.18601937,0,인천광역시,옹진군
48009,어린이집,토리어린이집,사립,19554,483,3365,11,1,28.18601937,0,인천광역시,옹진군
48010,어린이집,은물결어린이집,사립,12648,348,3014,11,1,28.18601937,0,인천광역시,옹진군
48011,어린이집,새아어린이집,사립,19554,483,3365,11,1,28.18601937,1,인천광역시,옹진군
48012,어린이집,연평공립어린이집,사립,4919,90,1368,11,1,28.18601937,0,인천광역시,옹진군
48013,어린이집,공립영흥어린이집,사립,19554,483,3365,11,1,28.18601937,0,인천광역시,옹진군
48014,어린이집,공립북도어린이집,사립,5649,76,642,11,1,28.18601937,0,인천광역시,옹진군
48015,어린이집,공립이작어린이집,사립,3445,55,528,11,1,28.18601937,0,인천광역시,옹진군
48016,어린이집,공립덕적어린이집,사립,5311,64,1163,11,1,28.18601937,0,인천광역시,옹진군
48017,어린이집,공립자월보듬이나눔이어,사립,3445,55,528,11,1,28.18601937,0,인천광역시,옹진군
4802,어린이집,새싹어린이집,사립,42103,569,5894,11,1,28.18601937,9,경기도,파주시
48021,어린이집,공립장봉어린이집,사립,5649,76,642,11,1,28.18601937,0,인천광역시,옹진군
48022,어린이집,아이들이 행복한 새아어,사립,19554,483,3365,11,1,28.18601937,0,인천광역시,옹진군
48023,어린이집,미소천사 어린이집,사립,91700,2935,13768,11,1,28.18601937,7,전라남도,목포시
48024,어린이집,구생어린이집,사립,21613,240,3047,11,1,28.18601937,2,전라남도,목포시
48029,어린이집,서남장애어린이집,사립,91997,1773,14092,11,1,28.18601937,0,전라남도,목포시
4803,어린이집,송화키즈어린이집,사립,154407,5056,23040,11,1,28.18601937,0,경기도,파주시
48030,어린이집,양동제일교회어린이집,사립,73956,1267,13216,11,1,28.18601937,1,전라남도,목포시
48031,어린이집,카리타스어린이집,사립,275924,6572,43952,11,1,28.18601937,5,전라남도,목포시
48032,어린이집,북교동교회어린이집,사립,28117,446,4710,11,1,28.18601937,1,전라남도,목포시
48038,어린이집,사회복지법인 뽀뽀뽀 어,사립,275924,6572,43952,11,1,28.18601937,0,전라남도,목포시
